,id,ChannelName,ChannelValue,controllers,group,staff_type_name,keysig,defaultClef,longName,shortName,trackName,instrumentId,part_trackName,useDrumset,clef
alphorn,alphorn,[None],[60],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Alphorn,AlpHn.,Alphorn,brass.alphorn,Alphorn,,F
harmonica,harmonica,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Harmonica,Harm.,Harmonica,wind.reed.harmonica,Harmonica,,
12 hole c chromatic harmonica,harmonica-c12c,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,12 Hole C Chromatic Harmonica,Harm.,12 Hole C Chromatic Harmonica,wind.reed.harmonica,12 Hole C Chromatic Harmonica,,
14 hole c chromatic harmonica,harmonica-c14c,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,14 Hole C Chromatic Harmonica,Harm.,14 Hole C Chromatic Harmonica,wind.reed.harmonica,14 Hole C Chromatic Harmonica,,
12 hole g chromatic harmonica,harmonica-c12g,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,12 Hole G Chromatic Harmonica,Harm.,12 Hole G Chromatic Harmonica,wind.reed.harmonica,12 Hole G Chromatic Harmonica,,
16 hole c chromatic harmonica,harmonica-c16c,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,16 Hole C Chromatic Harmonica,Harm.,16 Hole C Chromatic Harmonica,wind.reed.harmonica,16 Hole C Chromatic Harmonica,,
12 hole tenor c chromatic harmonica,harmonica-c12tenor-c,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,12 Hole Tenor C Chromatic Harmonica,Harm.,12 Hole Tenor C Chromatic Harmonica,wind.reed.harmonica,12 Hole Tenor C Chromatic Harmonica,,G8vb
10 hole high g diatonic harmonica,harmonica-d12high-g,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,10 Hole High G Diatonic Harmonica,Harm.,10 Hole High G Diatonic Harmonica,wind.reed.harmonica,10 Hole High G Diatonic Harmonica,,
10 hole f diatonic harmonica,harmonica-d12f,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,10 Hole F Diatonic Harmonica,Harm.,10 Hole F Diatonic Harmonica,wind.reed.harmonica,10 Hole F Diatonic Harmonica,,
10 hole d diatonic harmonica,harmonica-d12d,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,10 Hole D Diatonic Harmonica,Harm.,10 Hole D Diatonic Harmonica,wind.reed.harmonica,10 Hole D Diatonic Harmonica,,
10 hole c diatonic harmonica,harmonica-d12c,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,10 Hole C Diatonic Harmonica,Harm.,10 Hole C Diatonic Harmonica,wind.reed.harmonica,10 Hole C Diatonic Harmonica,,
