,id,ChannelName,ChannelValue,controllers,group,staff_type_name,keysig,defaultClef,longName,shortName,trackName,instrumentId,part_trackName,useDrumset,clef
piccolo,piccolo,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Piccolo,Picc.,Piccolo,wind.flutes.flute.piccolo,Piccolo,,
d♭ piccolo,db-piccolo,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,D♭ Piccolo,D♭ Picc.,D♭ Piccolo,wind.flutes.flute.piccolo,D♭ Piccolo,,
e♭ piccolo,eb-piccolo,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,E♭ Piccolo,E♭ Picc.,E♭ Piccolo,wind.flutes.flute.piccolo,E♭ Piccolo,,
flute,flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Flute,Fl.,Flute,wind.flutes.flute,Flute,,
treble flute,treble-flute,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Treble Flute,Tr. Fl.,Treble Flute,wind.flutes.flute,Treble Flute,,
soprano flute,soprano-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Flute,Sop. Fl.,Soprano Flute,wind.flutes.flute,Soprano Flute,,
sub contra-alto flute,subcontra-alto-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Sub Contra-alto Flute,Sc-a. Fl.,Sub Contra-alto Flute,wind.flutes.flute.subcontrabass,Sub Contra-alto Flute,,
alto flute,alto-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Alto Flute,A. Fl.,Alto Flute,wind.flutes.flute.alto,Alto Flute,,
bass flute,bass-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Bass Flute,B. Fl.,Bass Flute,wind.flutes.flute.bass,Bass Flute,,
contra-alto flute,contra-alto-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Contra-alto Flute,C-a. Fl.,Contra-alto Flute,wind.flutes.flute.contra-alto,Contra-alto Flute,,
contrabass flute,contrabass-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Contrabass Flute,Cb. Fl.,Contrabass Flute,wind.flutes.flute.contrabass,Contrabass Flute,,
double contrabass flute,double-contrabass-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Double Contrabass Flute,D. Cb. Fl.,Double Contrabass Flute,wind.flutes.flute.double-contrabass,Double Contrabass Flute,,
hyperbass flute,hyperbass-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Hyperbass Flute,Hb. Fl.,Hyperbass Flute,wind.flutes.flute.double-contrabass,Hyperbass Flute,,
traverso,traverso,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Traverso,Trv.,Traverso,wind.flutes.flute,Traverso,,
danso,danso,[None],[76],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8va,Danso,Da.,Danso,wind.flutes.danso,Danso,,G8va
piccolo oboe,piccolo-oboe,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Piccolo Oboe,P. Ob.,Piccolo Oboe,wind.reed.oboe.piccolo,Piccolo Oboe,,
oboe,oboe,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Oboe,Ob.,Oboe,wind.reed.oboe,Oboe,,
baroque oboe,baroque-oboe,[None],[69],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Baroque Oboe,Bq. Ob.,Baroque Oboe,wind.reed.oboe,Baroque Oboe,,
oboe d'amore,oboe-d'amore,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Oboe d'amore,Ob. d'a.,Oboe d'amore,wind.reed.oboe-damore,Oboe d'amore,,
oboe da caccia,oboe-da-caccia,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Oboe da caccia,Ob. d. ca.,Oboe da caccia,wind.reed.oboe-da-caccia,Oboe da caccia,,
english horn,english-horn,[None],[69],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,English Horn,E. Hn.,English Horn,wind.reed.english-horn,English Horn,,
bass oboe,bass-oboe,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Bass Oboe,B. Ob.,Bass Oboe,wind.reed.oboe.bass,Bass Oboe,,G8vb
piccolo heckelphone,piccolo-heckelphone,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Piccolo Heckelphone,P. Hph.,Piccolo Heckelphone,wind.reed.heckelphone.piccolo,Piccolo Heckelphone,,G8vb
heckelphone,heckelphone,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Heckelphone,Hph.,Heckelphone,wind.reed.heckelphone,Heckelphone,,
lupophone,lupophone,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Lupophone,Lph.,Lupophone,wind.reed.heckelphone,Lupophone,,G8vb
clarinet,clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Clarinet,Cl.,Clarinet,wind.reed.clarinet,Clarinet,,
piccolo clarinet,piccolo-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Piccolo Clarinet,P. Cl.,Piccolo Clarinet,wind.reed.clarinet.piccolo.aflat,Piccolo Clarinet,,
soprano clarinet,soprano-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Clarinet,S. Cl.,Soprano Clarinet,wind.reed.clarinet,Soprano Clarinet,,
c clarinet,c-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,C Clarinet,C Cl.,C Clarinet,wind.reed.clarinet,C Clarinet,,
d clarinet,d-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,D Clarinet,D Cl.,D Clarinet,wind.reed.clarinet,D Clarinet,,
e♭ clarinet,eb-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,E♭ Clarinet,E♭ Cl.,E♭ Clarinet,wind.reed.clarinet.eflat,E♭ Clarinet,,
g clarinet,g-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,G Clarinet,G Cl.,G Clarinet,wind.reed.clarinet,G Clarinet,,
b♭ clarinet,bb-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,B♭ Clarinet,B♭ Cl.,B♭ Clarinet,wind.reed.clarinet.bflat,B♭ Clarinet,,
a clarinet,a-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,A Clarinet,A Cl.,A Clarinet,wind.reed.clarinet.a,A Clarinet,,
alto clarinet,alto-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Alto Clarinet,A. Cl.,Alto Clarinet,wind.reed.clarinet.alto,Alto Clarinet,,
basset clarinet,basset-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Basset Clarinet,Ba. Cl.,Basset Clarinet,wind.reed.clarinet.basset,Basset Clarinet,,
basset horn,basset-horn,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Basset Horn,Ba. Hn.,Basset Horn,wind.reed.basset-horn,Basset Horn,,
bass clarinet,bass-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Bass Clarinet,B. Cl.,Bass Clarinet,wind.reed.clarinet.bass,Bass Clarinet,,
b♭ bass clarinet,bb-bass-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,B♭ Bass Clarinet,B♭ B. Cl.,B♭ Bass Clarinet,wind.reed.clarinet.bass,B♭ Bass Clarinet,,
b♭ bass clarinet (bass clef),bb-bass-clarinet-bass-clef,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,B♭ Bass Clarinet,B♭ B. Cl.,B♭ Bass Clarinet (Bass Clef),wind.reed.clarinet.bass,B♭ Bass Clarinet (Bass Clef),,F
a bass clarinet,a-bass-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,A Bass Clarinet,A B. Cl.,A Bass Clarinet,wind.reed.clarinet.bass,A Bass Clarinet,,
a bass clarinet (bass clef),a-bass-clarinet-bass-clef),[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,A Bass Clarinet,A B. Cl.,A Bass Clarinet (Bass Clef),wind.reed.clarinet.bass,A Bass Clarinet (Bass Clef),,F
contra-alto clarinet,contra-alto-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Contra-alto Clarinet,C-a. Cl.,Contra-alto Clarinet,wind.reed.clarinet.contra-alto,Contra-alto Clarinet,,
contrabass clarinet,contrabass-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Contrabass Clarinet,Cb. Cl.,Contrabass Clarinet,wind.reed.clarinet.contrabass,Contrabass Clarinet,,
saxophone,saxophone,[None],[66],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Saxophone,Sax.,Saxophone,wind.reed.saxophone,Saxophone,,
sopranissimo saxophone,sopranissimo-saxophone,[None],[64],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Sopranissimo Saxophone,Sio. Sax.,Sopranissimo Saxophone,wind.reed.saxophone.sopraninissimo,Sopranissimo Saxophone,,
sopranino saxophone,sopranino-saxophone,[None],[64],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Sopranino Saxophone,Si. Sax.,Sopranino Saxophone,wind.reed.saxophone.sopranino,Sopranino Saxophone,,
soprano saxophone,soprano-saxophone,[None],[64],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Saxophone,S. Sax.,Soprano Saxophone,wind.reed.saxophone.soprano,Soprano Saxophone,,
aulochrome,aulochrome,[None],[64],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Aulochrome,Aul.,Aulochrome,wind.reed.saxophone.aulochrome,Aulochrome,,
mezzo-soprano saxophone,mezzo-soprano-saxophone,[None],[65],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Mezzo-Soprano Saxophone,M.S. Sax.,Mezzo-Soprano Saxophone,wind.reed.saxophone.mezzo-soprano,Mezzo-Soprano Saxophone,,
alto saxophone,alto-saxophone,[None],[65],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Alto Saxophone,A. Sax.,Alto Saxophone,wind.reed.saxophone.alto,Alto Saxophone,,
melody saxophone,melody-saxophone,[None],[66],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Melody Saxophone,Mel. Sax.,Melody Saxophone,wind.reed.saxophone.melody,Melody Saxophone,,
tenor saxophone,tenor-saxophone,[None],[66],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Tenor Saxophone,T. Sax.,Tenor Saxophone,wind.reed.saxophone.tenor,Tenor Saxophone,,
baritone saxophone,baritone-saxophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Baritone Saxophone,Bar. Sax.,Baritone Saxophone,wind.reed.saxophone.baritone,Baritone Saxophone,,
bass saxophone,bass-saxophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Bass Saxophone,B. Sax.,Bass Saxophone,wind.reed.saxophone.bass,Bass Saxophone,,
contrabass saxophone,contrabass-saxophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Contrabass Saxophone,Cb. Sax.,Contrabass Saxophone,wind.reed.saxophone.contrabass,Contrabass Saxophone,,
subcontrabass saxophone,subcontrabass-saxophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Subcontrabass Saxophone,Scb. Sax.,Subcontrabass Saxophone,wind.reed.saxophone.subcontrabass,Subcontrabass Saxophone,,
bassoon,bassoon,[None],[70],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Bassoon,Bsn.,Bassoon,wind.reed.bassoon,Bassoon,,F
contrabassoon,contrabassoon,[None],[70],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Contrabassoon,Cbsn.,Contrabassoon,wind.reed.contrabassoon,Contrabassoon,,
bagpipe,bagpipe,[None],[109],[[]],pitched,stdNormal,,,Bagpipe,Bagp.,Bagpipe,wind.pipes.bagpipes,Bagpipe,,
reed contrabass,reed-contrabass,[None],[70],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Reed Contrabass,Rd. Cbs.,Reed Contrabass,wind.reed.contrabass,Reed Contrabass,,F
dulcian,dulcian,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Dulcian,Du.,Dulcian,wind.reed.dulcian,Dulcian,,F
rackett,rackett,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Rackett,Ra.,Rackett,wind.reed.rackett,Rackett,,F
sarrusophone,sarrusophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Sarrusophone,Sar.,Sarrusophone,wind.reed.sarrusaphone,Sarrusophone,,
sopranino sarrusophone,sopranino-sarrusophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Sopranino Sarrusophone,Si. Sar.,Sopranino Sarrusophone,wind.reed.sarrusaphone,Sopranino Sarrusophone,,
soprano sarrusophone,soprano-sarrusophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Sarrusophone,S. Sar.,Soprano Sarrusophone,wind.reed.sarrusaphone,Soprano Sarrusophone,,
alto sarrusophone,alto-sarrusophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Alto Sarrusophone,A. Sar.,Alto Sarrusophone,wind.reed.sarrusaphone,Alto Sarrusophone,,
tenor sarrusophone,tenor-sarrusophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Tenor Sarrusophone,T. Sar.,Tenor Sarrusophone,wind.reed.sarrusaphone,Tenor Sarrusophone,,
baritone sarrusophone,baritone-sarrusophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Baritone Sarrusophone,Bar. Sar.,Baritone Sarrusophone,wind.reed.sarrusaphone,Baritone Sarrusophone,,
bass sarrusophone,bass-sarrusophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Bass Sarrusophone,B. Sar.,Bass Sarrusophone,wind.reed.sarrusaphone,Bass Sarrusophone,,
contrabass sarrusophone,contrabass-sarrusophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Contrabass Sarrusophone,Cb. Sar.,Contrabass Sarrusophone,wind.reed.sarrusaphone,Contrabass Sarrusophone,,
pocket sax in c,xaphoon,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Pocket Sax in C,C Pkt. Sax,Pocket Sax in C,wind.reed.xaphoon,Pocket Sax in C,,
pocket sax in b♭,bb-xaphoon,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Pocket Sax in B♭,B♭ Pkt. Sax,Pocket Sax in B♭,wind.reed.xaphoon,Pocket Sax in B♭,,
pocket sax in d,d-xaphoon,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Pocket Sax in D,D Pkt. Sax,Pocket Sax in D,wind.reed.xaphoon,Pocket Sax in D,,
pocket sax in g,g-xaphoon,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Pocket Sax in G,G Pkt. Sax,Pocket Sax in G,wind.reed.xaphoon,Pocket Sax in G,,
chalumeau,chalumeau,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Chalumeau,Cha.,Chalumeau,wind.reed.chalumeau,Chalumeau,,G8vb
sopranino chalumeau,sopranino-chalumeau,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Sopranino Chalumeau,Si. Cha.,Sopranino Chalumeau,wind.reed.chalumeau,Sopranino Chalumeau,,
soprano chalumeau,soprano-chalumeau,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Chalumeau,S. Cha.,Soprano Chalumeau,wind.reed.chalumeau,Soprano Chalumeau,,
alto chalumeau,alto-chalumeau,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Alto Chalumeau,A. Cha.,Alto Chalumeau,wind.reed.chalumeau,Alto Chalumeau,,G8vb
tenor chalumeau,tenor-chalumeau,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Tenor Chalumeau,T. Cha.,Tenor Chalumeau,wind.reed.chalumeau,Tenor Chalumeau,,G8vb
bass chalumeau,bass-chalumeau,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Bass Chalumeau,B. Cha.,Bass Chalumeau,wind.reed.chalumeau,Bass Chalumeau,,F
tarogato,tarogato,[None],[69],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Tarogato,Tar.,Tarogato,wind.reed.taroagato,Tarogato,,
octavin,octavin,[None],[69],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Octavin,Oct.,Octavin,wind.reed.octavin,Octavin,,
heckelphone-clarinet,heckelphone-clarinet,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Heckelphone-clarinet,Hph.-cl.,Heckelphone-clarinet,wind.reed.heckelphone-clarinet,Heckelphone-clarinet,,G8vb
sopranino shawm,sopranino-shawm,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Sopranino Shawm,Si. Sh.,Sopranino Shawm,wind.reed.shawm,Sopranino Shawm,,
soprano shawm,soprano-shawm,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Shawm,S. Sh.,Soprano Shawm,wind.reed.shawm,Soprano Shawm,,
alto shawm,alto-shawm,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Alto Shawm,A. Sh.,Alto Shawm,wind.reed.shawm,Alto Shawm,,
tenor shawm,tenor-shawm,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Tenor Shawm,T. Sh.,Tenor Shawm,wind.reed.shawm,Tenor Shawm,,G8vb
bass shawm,bass-shawm,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Bass Shawm,B. Sh.,Bass Shawm,wind.reed.shawm,Bass Shawm,,F
great bass shawm,great-bass-shawm,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Great Bass Shawm,G.B. Sh.,Great Bass Shawm,wind.reed.shawm,Great Bass Shawm,,G8vb
cromorne,cromorne,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Cromorne,Cr.,Cromorne,wind.reed.cromorne,Cromorne,,
crumhorn,crumhorn,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Crumhorn,Crh.,Crumhorn,wind.reed.crumhorn,Crumhorn,,
soprano crumhorn,soprano-crumhorn,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Crumhorn,S. Crh.,Soprano Crumhorn,wind.reed.crumhorn.soprano,Soprano Crumhorn,,
alto crumhorn,alto-crumhorn,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Alto Crumhorn,A. Crh.,Alto Crumhorn,wind.reed.crumhorn.alto,Alto Crumhorn,,
tenor crumhorn,tenor-crumhorn,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Tenor Crumhorn,T. Crh.,Tenor Crumhorn,wind.reed.crumhorn.tenor,Tenor Crumhorn,,G8vb
bass crumhorn,bass-crumhorn,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Bass Crumhorn,B. Crh.,Bass Crumhorn,wind.reed.crumhorn.bass,Bass Crumhorn,,F
greatbass crumhorn,greatbass-crumhorn,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Greatbass Crumhorn,Gb. Crh.,Greatbass Crumhorn,wind.reed.crumhorn.great-bass,Greatbass Crumhorn,,F
cornamuse,cornamuse,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Cornamuse,Cm.,Cornamuse,wind.reed.cornamuse,Cornamuse,,
soprano cornamuse,soprano-cornamuse,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Cornamuse,S. Cm.,Soprano Cornamuse,wind.reed.cornamuse,Soprano Cornamuse,,
alto cornamuse,alto-cornamuse,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Alto Cornamuse,A. Cm.,Alto Cornamuse,wind.reed.cornamuse,Alto Cornamuse,,
tenor cornamuse,tenor-cornamuse,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Tenor Cornamuse,T. Cm.,Tenor Cornamuse,wind.reed.cornamuse,Tenor Cornamuse,,G8vb
bass cornamuse,bass-cornamuse,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Bass Cornamuse,B. Cm.,Bass Cornamuse,wind.reed.cornamuse,Bass Cornamuse,,F
duduk,duduk,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Duduk 1,Du. 1,Duduk,wind.reed.duduk,Duduk 1,,
f duduk,f-duduk,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8va,F Duduk,F Du.,F Duduk,wind.reed.duduk,F Duduk,,G8va
e duduk,e-duduk,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8va,E Duduk,E Du.,E Duduk,wind.reed.duduk,E Duduk,,G8va
c duduk,c-duduk,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8va,C Duduk,C Du.,C Duduk,wind.reed.duduk,C Duduk,,G8va
b duduk,b-duduk,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,B Duduk,B Du.,B Duduk,wind.reed.duduk,B Duduk,,
b♭ duduk,bb-duduk,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,B♭ Duduk,B♭ Du.,B♭ Duduk,wind.reed.duduk,B♭ Duduk,,
a duduk,a-duduk,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,A Duduk,A Du.,A Duduk,wind.reed.duduk,A Duduk,,
g duduk,g-duduk,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,G Duduk,G Du.,G Duduk,wind.reed.duduk,G Duduk,,
a bass duduk,a-bass-duduk,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,A Bass Duduk,A B. Du.,A Bass Duduk,wind.reed.duduk,A Bass Duduk,,
soprano kelhorn,soprano-kelhorn,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Kelhorn,S. Kh.,Soprano Kelhorn,,Soprano Kelhorn,,
alto kelhorn,alto-kelhorn,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Alto Kelhorn,A. Kh.,Alto Kelhorn,,Alto Kelhorn,,
tenor kelhorn,tenor-kelhorn,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Tenor Kelhorn,T. Kh.,Tenor Kelhorn,,Tenor Kelhorn,,G8vb
bass kelhorn,bass-kelhorn,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Bass Kelhorn,B. Kh.,Bass Kelhorn,,Bass Kelhorn,,F
greatbass kelhorn,greatbass-kelhorn,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Greatbass Kelhorn,Gb. Kh.,Greatbass Kelhorn,,Greatbass Kelhorn,,F
rauschpfeife,rauschpfeife,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Rauschpfeife,Rpf.,Rauschpfeife,wind.reed.rauschpfeife,Rauschpfeife,,
sopranino rauschpfeife,sopranino-rauschpfeife,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Sopranino Rauschpfeife,Si. Rpf.,Sopranino Rauschpfeife,wind.reed.rauschpfeife,Sopranino Rauschpfeife,,
soprano rauschpfeife,soprano-rauschpfeife,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Rauschpfeife,S. Rpf.,Soprano Rauschpfeife,wind.reed.rauschpfeife,Soprano Rauschpfeife,,
shenai,shenai,[None],[111],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Shenai,She.,Shenai,wind.reed.shenai,Shenai,,
dizi,d-dizi,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Dizi,Di.,Dizi,wind.flutes.di-zi,Dizi,,
c dizi,c-dizi,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,C Dizi,C Di.,C Dizi,wind.flutes.di-zi,C Dizi,,
a dizi,a-dizi,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,A Dizi,A Di.,A Dizi,wind.flutes.di-zi,A Dizi,,
g dizi,g-dizi,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,G Dizi,G Di.,G Dizi,wind.flutes.di-zi,G Dizi,,
f dizi,f-dizi,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,F Dizi,F Di.,F Dizi,wind.flutes.di-zi,F Dizi,,
e dizi,e-dizi,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,E Dizi,E Di.,E Dizi,wind.flutes.di-zi,E Dizi,,
b♭ fife,fife,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8va,B♭ Fife,B♭ Fife,B♭ Fife,wind.flutes.fife,B♭ Fife,,G8va
flageolet,flageolet,[None],[78],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8va,Flageolet,Fla.,Flageolet,wind.flutes.flageolet,Flageolet,,G8va
french flageolet,french-flageolet,[None],[78],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8va,French Flageolet,Fr. Fla.,French Flageolet,wind.flutes.flageolet,French Flageolet,,G8va
